tuple_number	diff_direction	requirement_id	object_kind	database_name	schema_name	object_identity	owner_identity	grantee_identity	privilege	grantable	hierarchy_inheritance_flag	object_acl_type_code	classification	first_authorizing_migration_or_contract	055_effect	later_reauthorizing_migration_or_contract	checked_in_evidence	rationale	post_h1_composition_disposition
112	actual_minus_expected	H1-ACL-ATTEMPT	table	LSTM	public	public.campaign_operations_dispatch_attempt	campaign_operations_h1_boundary_authority	pqxx	SELECT	f	f	r	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
113	actual_minus_expected	H1-ACL-DISPATCH-AUDIT	table	LSTM	public	public.campaign_operations_dispatch_audit_reference_event	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	SELECT	f	f	r	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
114	actual_minus_expected	H1-ACL-DISPATCH-AUDIT	table	LSTM	public	public.campaign_operations_dispatch_audit_reference_event	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	SELECT	f	f	r	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
115	actual_minus_expected	H1-ACL-DISPATCH-AUDIT	table	LSTM	public	public.campaign_operations_dispatch_audit_reference_event	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	SELECT	f	f	r	B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
116	actual_minus_expected	H1-ACL-DISPATCH-AUDIT	table	LSTM	public	public.campaign_operations_dispatch_audit_reference_event	campaign_operations_h1_boundary_authority	pqxx	SELECT	f	f	r	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
117	actual_minus_expected	H1-ACL-REQUEST	table	LSTM	public	public.campaign_operations_operational_request	campaign_operations_h1_boundary_authority	campaign_operations_budget_administrator	SELECT	f	f	r	A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
118	actual_minus_expected	H1-ACL-REQUEST	table	LSTM	public	public.campaign_operations_operational_request	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	SELECT	f	f	r	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
119	actual_minus_expected	H1-ACL-REQUEST	table	LSTM	public	public.campaign_operations_operational_request	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	SELECT	f	f	r	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
120	actual_minus_expected	H1-ACL-REQUEST	table	LSTM	public	public.campaign_operations_operational_request	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	SELECT	f	f	r	B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
121	actual_minus_expected	H1-ACL-REQUEST	table	LSTM	public	public.campaign_operations_operational_request	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	SELECT	f	f	r	A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
122	actual_minus_expected	H1-ACL-ENABLEMENT-AUDIT	table	LSTM	public	public.campaign_operations_production_enablement_audit_reference_event	campaign_operations_h1_boundary_authority	campaign_operations_production_dispatcher	SELECT	f	f	r	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
123	actual_minus_expected	H1-ACL-ENABLEMENT-AUDIT	table	LSTM	public	public.campaign_operations_production_enablement_audit_reference_event	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	SELECT	f	f	r	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
124	actual_minus_expected	H1-ACL-ENABLEMENT	table	LSTM	public	public.campaign_operations_production_enablement_event	campaign_operations_h1_boundary_authority	campaign_operations_production_dispatcher	SELECT	f	f	r	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
125	actual_minus_expected	H1-ACL-ENABLEMENT	table	LSTM	public	public.campaign_operations_production_enablement_event	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	SELECT	f	f	r	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
126	actual_minus_expected	H1-ACL-ADMISSION	table	LSTM	public	public.campaign_operations_request_production_admission	campaign_operations_h1_boundary_authority	campaign_operations_production_dispatcher	SELECT	f	f	r	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
127	actual_minus_expected	H1-ACL-ADMISSION	table	LSTM	public	public.campaign_operations_request_production_admission	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	SELECT	f	f	r	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
128	actual_minus_expected	H1-ACL-LEDGER	table	LSTM	public	public.schema_migrations	vjp	pqxx	SELECT	f	f	r	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
129	actual_minus_expected	H1-ACL-READINESS	view	LSTM	public	public.campaign_operations_production_readiness_v1	campaign_operations_h1_boundary_authority	pqxx	SELECT	f	f	r	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
130	actual_minus_expected	H1-ACL-STATUS	view	LSTM	public	public.campaign_operations_production_status_v1	campaign_operations_h1_boundary_authority	pqxx	SELECT	f	f	r	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
131	expected_minus_actual	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.dispatcher_identity	campaign_operations_h1_boundary_authority	campaign_operations_owner	UPDATE	f	f		C	055	055 explicitly requires this frozen owner UPDATE tuple; it is absent.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4269-4273; Database/manifests/055_campaign_operations_h1_column_acl.tsv:4	No checked-in 056-064 revocation permits removal of this required 055 tuple.	REJECT
132	expected_minus_actual	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.lease_expires_at	campaign_operations_h1_boundary_authority	campaign_operations_owner	UPDATE	f	f		C	055	055 explicitly requires this frozen owner UPDATE tuple; it is absent.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4269-4273; Database/manifests/055_campaign_operations_h1_column_acl.tsv:4	No checked-in 056-064 revocation permits removal of this required 055 tuple.	REJECT
133	expected_minus_actual	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.lease_token_hash	campaign_operations_h1_boundary_authority	campaign_operations_owner	UPDATE	f	f		C	055	055 explicitly requires this frozen owner UPDATE tuple; it is absent.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4269-4273; Database/manifests/055_campaign_operations_h1_column_acl.tsv:4	No checked-in 056-064 revocation permits removal of this required 055 tuple.	REJECT
134	expected_minus_actual	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.request_state	campaign_operations_h1_boundary_authority	campaign_operations_owner	UPDATE	f	f		C	055	055 explicitly requires this frozen owner UPDATE tuple; it is absent.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4269-4273; Database/manifests/055_campaign_operations_h1_column_acl.tsv:4	No checked-in 056-064 revocation permits removal of this required 055 tuple.	REJECT
135	expected_minus_actual	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.state_version	campaign_operations_h1_boundary_authority	campaign_operations_owner	UPDATE	f	f		C	055	055 explicitly requires this frozen owner UPDATE tuple; it is absent.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4269-4273; Database/manifests/055_campaign_operations_h1_column_acl.tsv:4	No checked-in 056-064 revocation permits removal of this required 055 tuple.	REJECT
136	expected_minus_actual	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.updated_at	campaign_operations_h1_boundary_authority	campaign_operations_owner	UPDATE	f	f		C	055	055 explicitly requires this frozen owner UPDATE tuple; it is absent.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4269-4273; Database/manifests/055_campaign_operations_h1_column_acl.tsv:4	No checked-in 056-064 revocation permits removal of this required 055 tuple.	REJECT
